,APU000072610
11/1/1978,0.046
12/1/1978,0.046
1/1/1979,0.046
2/1/1979,0.047
3/1/1979,0.047
4/1/1979,0.048
5/1/1979,0.049
6/1/1979,0.052
7/1/1979,0.053
8/1/1979,0.053
9/1/1979,0.053
10/1/1979,0.053
11/1/1979,0.051
12/1/1979,0.052
1/1/1980,0.053
2/1/1980,0.055
3/1/1980,0.056
4/1/1980,0.056
5/1/1980,0.058
6/1/1980,0.063
7/1/1980,0.064
8/1/1980,0.064
9/1/1980,0.065
10/1/1980,0.063
11/1/1980,0.061
12/1/1980,0.062
1/1/1981,0.063
2/1/1981,0.064
3/1/1981,0.065
4/1/1981,0.066
5/1/1981,0.067
6/1/1981,0.071
7/1/1981,0.073
8/1/1981,0.075
9/1/1981,0.074
10/1/1981,0.072
11/1/1981,0.071
12/1/1981,0.071
1/1/1982,0.073
2/1/1982,0.073
3/1/1982,0.075
4/1/1982,0.075
5/1/1982,0.075
6/1/1982,0.079
7/1/1982,0.079
8/1/1982,0.079
9/1/1982,0.079
10/1/1982,0.077
11/1/1982,0.074
12/1/1982,0.075
1/1/1983,0.075
2/1/1983,0.075
3/1/1983,0.076
4/1/1983,0.075
5/1/1983,0.077
6/1/1983,0.081
7/1/1983,0.082
8/1/1983,0.082
9/1/1983,0.082
10/1/1983,0.08
11/1/1983,0.077
12/1/1983,0.077
1/1/1984,0.078
2/1/1984,0.079
3/1/1984,0.079
4/1/1984,0.08
5/1/1984,0.081
6/1/1984,0.086
7/1/1984,0.087
8/1/1984,0.089
9/1/1984,0.084
10/1/1984,0.081
11/1/1984,0.079
12/1/1984,0.078
1/1/1985,0.079
2/1/1985,0.079
3/1/1985,0.079
4/1/1985,0.08
5/1/1985,0.08
6/1/1985,0.085
7/1/1985,0.085
8/1/1985,0.085
9/1/1985,.
10/1/1985,0.082
11/1/1985,0.08
12/1/1985,0.08
1/1/1986,0.081
2/1/1986,0.075
3/1/1986,0.075
4/1/1986,0.074
5/1/1986,0.074
6/1/1986,0.08
7/1/1986,0.08
8/1/1986,0.08
9/1/1986,0.08
10/1/1986,0.074
11/1/1986,0.073
12/1/1986,0.073
1/1/1987,0.075
2/1/1987,0.076
3/1/1987,0.076
4/1/1987,0.076
5/1/1987,0.076
6/1/1987,0.084
7/1/1987,0.084
8/1/1987,0.085
9/1/1987,0.084
10/1/1987,0.078
11/1/1987,0.077
12/1/1987,0.077
1/1/1988,0.078
2/1/1988,0.078
3/1/1988,0.078
4/1/1988,0.077
5/1/1988,0.077
6/1/1988,0.084
7/1/1988,0.084
8/1/1988,0.084
9/1/1988,0.084
10/1/1988,0.08
11/1/1988,0.078
12/1/1988,0.078
1/1/1989,0.079
2/1/1989,0.079
3/1/1989,0.079
4/1/1989,0.079
5/1/1989,0.08
6/1/1989,0.086
7/1/1989,0.086
8/1/1989,0.086
9/1/1989,0.086
10/1/1989,0.081
11/1/1989,0.08
12/1/1989,0.081
1/1/1990,0.081
2/1/1990,0.081
3/1/1990,0.081
4/1/1990,0.082
5/1/1990,0.082
6/1/1990,0.088
7/1/1990,0.087
8/1/1990,0.087
9/1/1990,0.088
10/1/1990,0.083
11/1/1990,0.082
12/1/1990,0.082
1/1/1991,0.084
2/1/1991,0.084
3/1/1991,0.085
4/1/1991,0.084
5/1/1991,0.085
6/1/1991,0.09
7/1/1991,0.091
8/1/1991,0.09
9/1/1991,0.091
10/1/1991,0.087
11/1/1991,0.084
12/1/1991,0.085
1/1/1992,0.085
2/1/1992,0.084
3/1/1992,0.086
4/1/1992,0.086
5/1/1992,0.087
6/1/1992,0.092
7/1/1992,0.092
8/1/1992,0.091
9/1/1992,0.092
10/1/1992,0.088
11/1/1992,0.086
12/1/1992,0.088
1/1/1993,0.089
2/1/1993,0.087
3/1/1993,0.088
4/1/1993,0.088
5/1/1993,0.09
6/1/1993,0.094
7/1/1993,0.095
8/1/1993,0.097
9/1/1993,0.097
10/1/1993,0.093
11/1/1993,0.091
12/1/1993,0.09
1/1/1994,0.09
2/1/1994,0.09
3/1/1994,0.089
4/1/1994,0.088
5/1/1994,0.09
6/1/1994,0.095
7/1/1994,0.095
8/1/1994,0.096
9/1/1994,0.096
10/1/1994,0.093
11/1/1994,0.091
12/1/1994,0.091
1/1/1995,0.091
2/1/1995,0.091
3/1/1995,0.091
4/1/1995,0.09
5/1/1995,0.092
6/1/1995,0.098
7/1/1995,0.098
8/1/1995,0.098
9/1/1995,0.097
10/1/1995,0.094
11/1/1995,0.092
12/1/1995,0.091
1/1/1996,0.091
2/1/1996,0.091
3/1/1996,0.092
4/1/1996,0.092
5/1/1996,0.092
6/1/1996,0.096
7/1/1996,0.099
8/1/1996,0.099
9/1/1996,0.099
10/1/1996,0.095
11/1/1996,0.092
12/1/1996,0.092
1/1/1997,0.092
2/1/1997,0.092
3/1/1997,0.093
4/1/1997,0.092
5/1/1997,0.093
6/1/1997,0.099
7/1/1997,0.099
8/1/1997,0.098
9/1/1997,0.099
10/1/1997,0.093
11/1/1997,0.092
12/1/1997,0.09
1/1/1998,0.086
2/1/1998,0.085
3/1/1998,0.085
4/1/1998,0.085
5/1/1998,0.086
6/1/1998,0.091
7/1/1998,0.091
8/1/1998,0.09
9/1/1998,0.089
10/1/1998,0.086
11/1/1998,0.084
12/1/1998,0.084
1/1/1999,0.084
2/1/1999,0.084
3/1/1999,0.084
4/1/1999,0.084
5/1/1999,0.085
6/1/1999,0.089
7/1/1999,0.09
8/1/1999,0.089
9/1/1999,0.09
10/1/1999,0.087
11/1/1999,0.085
12/1/1999,0.085
1/1/2000,0.084
2/1/2000,0.085
3/1/2000,0.085
4/1/2000,0.085
5/1/2000,0.085
6/1/2000,0.09
7/1/2000,0.091
8/1/2000,0.091
9/1/2000,0.091
10/1/2000,0.088
11/1/2000,0.086
12/1/2000,0.086
1/1/2001,0.088
2/1/2001,0.088
3/1/2001,0.089
4/1/2001,0.089
5/1/2001,0.09
6/1/2001,0.097
7/1/2001,0.099
8/1/2001,0.098
9/1/2001,0.097
10/1/2001,0.093
11/1/2001,0.09
12/1/2001,0.09
1/1/2002,0.089
2/1/2002,0.089
3/1/2002,0.089
4/1/2002,0.088
5/1/2002,0.089
6/1/2002,0.095
